Instrument,Committee Name,Committee Position of the Director,Committee Start Date,LEI,Company Name,Officer Rank,Officer Full Name,Officer First Name,Officer Middle Name,Officer Last Name,Officer Start Date,Director Start Date,Position Start Date,Position Description
APEO.L,Audit,Member,,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,1,Mr. Alan Devine,Alan,,Devine,NaT,2014-05-28 00:00:00,2022-03-22 00:00:00,Non-Executive Independent Chairman of the Board
APEO.L,Audit,Member,2021-09-01,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,2,"Mr. Dugald Agble, Ph.D.",Dugald,,Agble,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
APEO.L,Audit,Member,,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,3,Ms. Diane Seymour-Williams,Diane,,Seymour-Williams,NaT,2017-06-07 00:00:00,2017-06-07 00:00:00,Non-Executive Independent Director
APEO.L,Audit,Member,2021-09-01,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,4,Ms. Yvonne Stillhart,Yvonne,,Stillhart,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
APEO.L,Audit,Chairman,2017-12-29,2138004MK7VPTZ99EV13,abrdn Private Equity Opportunities Trust plc,5,Mr. Calum Thomson,Calum,,Thomson,NaT,2017-11-30 00:00:00,2022-03-22 00:00:00,Senior Non-Executive Independent Director
ADML.L,Audit,Member,2018-10-05,213800FGVM7Z9EJB2685,Admiral Group PLC,6,Mr. Michael (Mike) Brierley,Michael,,Brierley,NaT,2018-10-05 00:00:00,2018-10-05 00:00:00,Non-Executive Independent Director
ADML.L,Audit,Member,2018-02-27,213800FGVM7Z9EJB2685,Admiral Group PLC,7,Mr. Andrew (Andy) Crossley,Andrew,,Crossley,NaT,2018-02-27 00:00:00,2018-02-27 00:00:00,Non-Executive Independent Director
ADML.L,Audit,Chairman,2018-12-14,213800FGVM7Z9EJB2685,Admiral Group PLC,8,Ms. Karen Green,Karen,,Green,NaT,2018-12-14 00:00:00,2018-12-14 00:00:00,Non-Executive Independent Director
BAG.L,Audit,Member,2018-01-28,213800QWTXXXF8BNEC87,A G Barr PLC,7,Ms. Susan Verity Barratt,Susan,Verity,Barratt,NaT,2018-01-28 00:00:00,2020-05-01 00:00:00,Senior Independent Non-Executive Director
BAG.L,Audit,Member,2015-04-01,213800QWTXXXF8BNEC87,A G Barr PLC,9,Mr. David James Ritchie,David,James,Ritchie,NaT,2015-04-01 00:00:00,2015-04-01 00:00:00,Independent Non-Executive Director
BAG.L,Audit,Chairman,2020-05-01,213800QWTXXXF8BNEC87,A G Barr PLC,10,Mr. Nicholas Barry Edward (Nick) Wharton,Nicholas,Barry Edward,Wharton,NaT,2018-11-01 00:00:00,2018-11-01 00:00:00,Independent Non-Executive Director
AAF.L,Audit,Member,2020-10-01,254900ZNZDQL6OWQH623,Airtel Africa PLC,22,Mrs. Awuneba Sotonye (Nee Iketubosin) Ajumogobia,Awuneba,Sotonye,Ajumogobia,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Non-Executive Independent Director
AAF.L,Audit,Member,2019-04-01,254900ZNZDQL6OWQH623,Airtel Africa PLC,26,"Mr. Andrew J. (Andy) Green, CBE",Andrew,J.,Green,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Senior Non-Executive Independent Director 
AAF.L,Audit,Member,2019-04-01,254900ZNZDQL6OWQH623,Airtel Africa PLC,27,Ms. Annika Poutiainen,Annika,,Poutiainen,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Non-Executive Independent Director
AAF.L,Audit,Chairman,2019-04-01,254900ZNZDQL6OWQH623,Airtel Africa PLC,28,Mr. Ravi Rajagopal,Ravi,,Rajagopal,NaT,2019-04-01 00:00:00,2019-04-01 00:00:00,Non-Executive Independent Director
AJBA.L,Audit,Chairman,,213800VNKA7DPWXWJJ36,AJ Bell PLC,13,Mr. Eamonn M. Flanagan,Eamonn,M.,Flanagan,NaT,2018-03-01 00:00:00,2018-03-01 00:00:00,Non-Executive Independent Director
AJBA.L,Audit,Member,,213800VNKA7DPWXWJJ36,AJ Bell PLC,14,Ms. Margaret G. Hassall,Margaret,G.,Hassall,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
ATST.L,Audit,Member,2021-03-04,213800SZZD4E2IOZ9W55,Alliance Trust PLC,2,Ms. Sarah Bates,Sarah,,Bates,NaT,2021-03-04 00:00:00,2021-06-30 00:00:00,Senior Non-Executive Independent Director
ATST.L,Audit,Member,2021-03-04,213800SZZD4E2IOZ9W55,Alliance Trust PLC,3,Mr. Dean R. Buckley,Dean,R.,Buckley,NaT,2021-03-04 00:00:00,2021-03-04 00:00:00,Non-Executive Independent Director
ATST.L,Audit,Chairman,2020-03-06,213800SZZD4E2IOZ9W55,Alliance Trust PLC,4,Ms. Josephine (Jo) Dixon,Josephine,,Dixon,NaT,2020-01-29 00:00:00,2020-01-29 00:00:00,Non-Executive Independent Director
ATST.L,Audit,Member,,213800SZZD4E2IOZ9W55,Alliance Trust PLC,5,Ms. Clare Juliet Dobie,Clare,Juliet,Dobie,NaT,2016-05-26 00:00:00,2016-05-26 00:00:00,Non-Executive Independent Director
ATST.L,Audit,Member,2022-09-29,213800SZZD4E2IOZ9W55,Alliance Trust PLC,6,Ms. Victoria (Vicky) Hastings,Victoria,,Hastings,NaT,2022-09-29 00:00:00,2022-09-29 00:00:00,Non-Executive Independent Director
ATST.L,Audit,Member,2022-09-29,213800SZZD4E2IOZ9W55,Alliance Trust PLC,7,Ms. Milyae Park,Milyae,,Park,NaT,2022-09-29 00:00:00,2022-09-29 00:00:00,Non-Executive Independent Director
ATT.L,Audit,Member,2021-12-01,549300OMDPMJU23SSH75,Allianz Technology Trust PLC,1,Mr. Timothy (Tim) Scholefield,Timothy,,Scholefield,NaT,2021-12-01 00:00:00,2023-04-26 00:00:00,Non-Executive Independent Chairman of the Board
ATT.L,Audit,Member,2019-09-01,549300OMDPMJU23SSH75,Allianz Technology Trust PLC,3,Ms. Neeta Patel,Neeta,,Patel,NaT,2019-09-01 00:00:00,2019-09-01 00:00:00,Non-Executive Independent Director
ATT.L,Audit,Member,2015-02-01,549300OMDPMJU23SSH75,Allianz Technology Trust PLC,4,Ms. Elisabeth C. Scott,Elisabeth,C.,Scott,NaT,2015-02-01 00:00:00,2015-02-01 00:00:00,Non-Executive Independent Director
ATT.L,Audit,Chairman,2023-01-01,549300OMDPMJU23SSH75,Allianz Technology Trust PLC,5,Ms. Ekaterina (Katya) Thomson,Ekaterina,,Thomson,NaT,2022-07-18 00:00:00,2022-07-18 00:00:00,Non-Executive Independent Director
AAL.L,Audit,Chairman,2022-04-19,549300S9XF92D1X8ME43,Anglo American PLC,23,Mrs. Hilary Maxson,Hilary,,Maxson,NaT,2021-06-01 00:00:00,2021-06-01 00:00:00,Independent Non-Executive Director
AAL.L,Audit,Member,2020-01-01,549300S9XF92D1X8ME43,Anglo American PLC,25,Ms. Nonkululeko Merina Cheryl (Nku) Nyembezi-Heita,Nonkululeko,Merina Cheryl,Nyembezi-Heita,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Independent Non-Executive Director
AAL.L,Audit,Member,2022-01-01,549300S9XF92D1X8ME43,Anglo American PLC,26,Mr. Ian Paul Tyler,Ian,Paul,Tyler,NaT,2022-01-01 00:00:00,2022-04-19 00:00:00,Senior Non-Executive Independent Director
ANTO.L,Audit,Member,2014-12-17,213800MY6QVH4FVLD628,Antofagasta PLC,23,Mr. Jorge Bande,Jorge,,Bande,NaT,2014-12-17 00:00:00,2014-12-17 00:00:00,Non-Executive Independent Director
ANTO.L,Audit,Member,2017-01-01,213800MY6QVH4FVLD628,Antofagasta PLC,24,Ms. Francisca Castro,Francisca,,Castro,NaT,2016-11-01 00:00:00,2023-08-08 00:00:00,Senior Non-Executive Independent Director
ANTO.L,Audit,Chairman,2021-07-31,213800MY6QVH4FVLD628,Antofagasta PLC,25,Mr. Tony A. Jensen,Tony,A.,Jensen,NaT,2020-03-13 00:00:00,2023-08-08 00:00:00,Non-Executive Independent Director
ANTO.L,Audit,Member,2023-04-18,213800MY6QVH4FVLD628,Antofagasta PLC,26,Ms. Heather Lawrence,Heather,,Lawrence,NaT,2023-04-18 00:00:00,2023-04-18 00:00:00,Independent Non-Executive Director
APAX.L,Audit,Member,,21380031LQE8CU8NU843,Apax Global Alpha Ltd,2,Mr. Christopher John (Chris) Ambler,Christopher,John,Ambler,NaT,2015-04-28 00:00:00,2015-04-28 00:00:00,Non-Executive Independent Director
APAX.L,Audit,Member,2018-07-03,21380031LQE8CU8NU843,Apax Global Alpha Ltd,3,Mr. Michael (Mike) Bane,Michael,,Bane,NaT,2018-07-03 00:00:00,2018-07-03 00:00:00,Non-Executive Independent Director
APAX.L,Audit,Member,2020-03-31,21380031LQE8CU8NU843,Apax Global Alpha Ltd,4,Ms. Stephanie Coxon,Stephanie,,Coxon,NaT,2020-03-31 00:00:00,2020-03-31 00:00:00,Non-Executive Independent Director
APAX.L,Audit,Chairman,2016-07-01,21380031LQE8CU8NU843,Apax Global Alpha Ltd,5,Ms. Sally-Ann (Susie) Farnon,Sally-Ann,,Farnon,NaT,2015-07-22 00:00:00,2016-11-18 00:00:00,Senior Independent Non-Executive Director
ASCL.L,Audit,Chairman,2021-01-11,213800VDXQDA7KD2IQ21,Ascential PLC,7,Ms. Suzanne C. Baxter,Suzanne,C.,Baxter,NaT,2021-01-05 00:00:00,2021-01-05 00:00:00,Non-Executive Independent Director
ASCL.L,Audit,Member,2016-01-21,213800VDXQDA7KD2IQ21,Ascential PLC,10,Ms. Gillian Dawn Celia Kent,Gillian,Dawn Celia,Kent,NaT,2016-01-21 00:00:00,2016-01-21 00:00:00,Non-Executive Independent Director
ASHM.L,Audit,Member,2021-07-01,549300U3L59WB4YI2X12,Ashmore Group PLC,5,Ms. Helen Beck,Helen,,Beck,NaT,2021-06-01 00:00:00,2021-06-01 00:00:00,Non-Executive Independent Director
ASHM.L,Audit,Member,2018-10-19,549300U3L59WB4YI2X12,Ashmore Group PLC,6,Ms. Jennifer Bingham,Jennifer,,Bingham,NaT,2018-06-29 00:00:00,2022-04-21 00:00:00,Senior Non-Executive Independent Director
ASHM.L,Audit,Member,2023-06-01,549300U3L59WB4YI2X12,Ashmore Group PLC,7,Ms. Thuy Bich Dam,Thuy Bich,,Dam,NaT,2023-06-01 00:00:00,2023-06-01 00:00:00,Non-Executive Independent Director
ASHM.L,Audit,Chairman,2022-10-01,549300U3L59WB4YI2X12,Ashmore Group PLC,8,Ms. Shirley Garrood,Shirley,,Garrood,NaT,2022-08-01 00:00:00,2022-08-01 00:00:00,Non-Executive Independent Director
AHT.L,Audit,Chairman,2018-10-09,2138007UTBN8X9K1A235,Ashtead Group PLC,5,Mr. Angus G. Cockburn,Angus,G.,Cockburn,NaT,2018-10-01 00:00:00,2019-01-01 00:00:00,Senior Non-Executive Independent Director
AHT.L,Audit,Member,2020-01-01,2138007UTBN8X9K1A235,Ashtead Group PLC,6,Ms. Jill Easterbrook,Jill,,Easterbrook,NaT,2020-01-01 00:00:00,2020-01-01 00:00:00,Independent Non-Executive Director
AHT.L,Audit,Member,2019-01-01,2138007UTBN8X9K1A235,Ashtead Group PLC,7,Ms. Tanya D. Fratto,Tanya,D.,Fratto,NaT,2016-07-04 00:00:00,2016-07-04 00:00:00,Independent Non-Executive Director
AHT.L,Audit,Member,2022-01-17,2138007UTBN8X9K1A235,Ashtead Group PLC,8,Ms. Renata Ribeiro,Renata,,Ribeiro,NaT,2022-01-17 00:00:00,2022-01-17 00:00:00,Independent Non-Executive Director
AHT.L,Audit,Member,,2138007UTBN8X9K1A235,Ashtead Group PLC,9,Ms. Lucinda J. Riches,Lucinda,J.,Riches,NaT,2016-06-01 00:00:00,2016-06-01 00:00:00,Independent Non-Executive Director
AHT.L,Audit,Member,2019-05-01,2138007UTBN8X9K1A235,Ashtead Group PLC,10,Mr. Lindsley Ruth,Lindsley,,Ruth,NaT,2019-05-01 00:00:00,2019-05-01 00:00:00,Independent Non-Executive Director
ASOS.L,Audit,Member,2023-02-01,213800H8DBB8JSKDW630,ASOS PLC,5,Mr. Wei Gao,Wei,,Gao,NaT,2023-02-01 00:00:00,2023-02-01 00:00:00,Non-Executive Director
ASOS.L,Audit,Member,2019-11-01,213800H8DBB8JSKDW630,ASOS PLC,9,Ms. Mai Fyfield,Mai,,Fyfield,NaT,2019-11-01 00:00:00,2023-04-05 00:00:00,Senior Independent Non-Executive Director
ASOS.L,Audit,Member,2019-11-01,213800H8DBB8JSKDW630,ASOS PLC,11,Mr. Luke Giles William Jensen,Luke,Giles William,Jensen,NaT,2019-11-01 00:00:00,2019-11-01 00:00:00,Non-Executive Independent Director
ASOS.L,Audit,Member,2020-04-16,213800H8DBB8JSKDW630,ASOS PLC,13,Ms. Eugenia Marie Ulasewicz,Eugenia,Marie,Ulasewicz,NaT,2020-04-16 00:00:00,2020-04-16 00:00:00,Non-Executive Independent Director
AGRP.L,Audit,Member,2021-05-01,21380026T19N2Y52XF72,Assura PLC,6,Ms. Emma Cariaga,Emma,,Cariaga,NaT,2021-05-01 00:00:00,2021-05-01 00:00:00,Non-Executive Director
AGRP.L,Audit,Member,2019-06-03,21380026T19N2Y52XF72,Assura PLC,7,Ms. Louise Fowler,Louise,,Fowler,NaT,2019-06-03 00:00:00,2019-06-03 00:00:00,Non-Executive Director
AGRP.L,Audit,Member,2021-05-01,21380026T19N2Y52XF72,Assura PLC,8,Mr. Noel Gordon,Noel,,Gordon,NaT,2021-05-01 00:00:00,2021-05-01 00:00:00,Non-Executive Director
AGRP.L,Audit,Chairman,2019-07-02,21380026T19N2Y52XF72,Assura PLC,9,Mr. Jonathan Davies,Jonathan,Owen,Davies,NaT,2018-06-01 00:00:00,2019-07-02 00:00:00,Senior Non-Executive Independent Director
AML.L,Audit,Member,,213800167WOVOK5ZC776,Aston Martin Lagonda Global Holdings PLC,1,Mr. Lawrence Stroll,Lawrence,,Stroll,2020-04-20 00:00:00,2020-04-20 00:00:00,2020-04-20 00:00:00,Executive Chairman of the Board
AML.L,Audit,Member,2022-10-01,213800167WOVOK5ZC776,Aston Martin Lagonda Global Holdings PLC,16,Sir Nigel Boardman,Nigel,,Boardman,NaT,2022-10-01 00:00:00,2023-05-17 00:00:00,Senior Non-Executive Independent Director
AML.L,Audit,Chairman,2021-02-25,213800167WOVOK5ZC776,Aston Martin Lagonda Global Holdings PLC,17,Mr. Robin Anthony David Freestone,Robin,Anthony David,Freestone,NaT,2021-02-01 00:00:00,2021-02-01 00:00:00,Non-Executive Independent Director
AML.L,Audit,Member,2021-02-01,213800167WOVOK5ZC776,Aston Martin Lagonda Global Holdings PLC,21,"Dr. Anne L. Stevens, Ph.D.",Anne,L.,Stevens,NaT,2021-02-01 00:00:00,2021-02-01 00:00:00,Non-Executive Independent Director
AZN.L,Audit,Member,2019-09-01,PY6ZZQWO2IZFZC3IOL08,AstraZeneca PLC,1,Mr. Michel Demare,Michel,,Demare,NaT,2019-09-01 00:00:00,2023-04-27 00:00:00,Non-Executive Independent Chairman of the Board
AZN.L,Audit,Member,2023-09-01,PY6ZZQWO2IZFZC3IOL08,AstraZeneca PLC,14,Ms. Anna Manz,Anna,,Manz,NaT,2023-09-01 00:00:00,2023-09-01 00:00:00,Non-Executive Director
AZN.L,Audit,Chairman,2019-03-01,PY6ZZQWO2IZFZC3IOL08,AstraZeneca PLC,17,Mr. Philip Broadley,Philip,,Broadley,NaT,2017-04-27 00:00:00,2021-03-01 00:00:00,Senior Non-Executive Independent Director
AZN.L,Audit,Member,2018-11-01,PY6ZZQWO2IZFZC3IOL08,AstraZeneca PLC,18,Ms. Deborah DiSanzo Eldracher,Deborah,DiSanzo,Eldracher,NaT,2017-12-01 00:00:00,2017-12-01 00:00:00,Non-Executive Independent Director
AZN.L,Audit,Member,2017-10-01,PY6ZZQWO2IZFZC3IOL08,AstraZeneca PLC,20,Ms. Sherilyn S. (Sheri) Mccoy,Sherilyn,S.,Mccoy,NaT,2017-10-01 00:00:00,2017-10-01 00:00:00,Non-Executive Independent Director
ATG.L,Audit,Chairman,2022-02-04,213800U8Q9K2XI3WRE39,Auction Technology Group PLC,6,Ms. Suzanne C. Baxter,Suzanne,C.,Baxter,NaT,2022-02-04 00:00:00,2022-02-04 00:00:00,Independent Non-Executive Director
ATG.L,Audit,Member,,213800U8Q9K2XI3WRE39,Auction Technology Group PLC,7,"Mr. Scott E. Forbes, CPA",Scott,E.,Forbes,NaT,NaT,2021-02-26 00:00:00,Senior Independent Non-Executive Director
ATG.L,Audit,Member,2022-02-04,213800U8Q9K2XI3WRE39,Auction Technology Group PLC,9,Ms. Tamsin Todd,Tamsin,,Todd,NaT,2022-02-04 00:00:00,2022-02-04 00:00:00,Independent Non-Executive Director
AUTOA.L,Audit,Member,2015-07-01,213800QLK9BZILB1DI86,Auto Trader Group PLC,7,Ms. Jill Easterbrook,Jill,,Easterbrook,NaT,2015-07-01 00:00:00,2015-07-01 00:00:00,Independent Non-Executive Director
AUTOA.L,Audit,Member,2022-01-01,213800QLK9BZILB1DI86,Auto Trader Group PLC,8,Ms. Jasvinder Gakhal,Jasvinder,,Gakhal,NaT,2022-01-01 00:00:00,2022-01-01 00:00:00,Independent Non-Executive Director
AUTOA.L,Audit,Chairman,2015-05-01,213800QLK9BZILB1DI86,Auto Trader Group PLC,9,Mr. David W. Keens,David,W.,Keens,NaT,2015-05-01 00:00:00,2015-05-01 00:00:00,Senior Independent Non-Executive Director
AUTOA.L,Audit,Member,2016-03-01,213800QLK9BZILB1DI86,Auto Trader Group PLC,10,Ms. Jeni Mundy,Jeni,,Mundy,NaT,2016-03-01 00:00:00,2016-03-01 00:00:00,Independent Non-Executive Director
AUTOA.L,Audit,Member,2019-11-01,213800QLK9BZILB1DI86,Auto Trader Group PLC,11,"Ms. Sigga Sigurdardottir, Ph.D.",Sigga,,Sigurdardottir,NaT,2019-11-01 00:00:00,2019-11-01 00:00:00,Independent Non-Executive Director
AGT.L,Audit,Member,2019-01-01,213800QUODCLWWRVI968,AVI Global Trust PLC,1,Mr. Graham John Kitchen,Graham,John,Kitchen,NaT,2019-01-01 00:00:00,2022-12-20 00:00:00,Non-Executive Chairman of the Board
AGT.L,Audit,Member,,213800QUODCLWWRVI968,AVI Global Trust PLC,4,Mrs. Anja M. Balfour,Anja,M.,Balfour,NaT,2018-01-01 00:00:00,2018-01-01 00:00:00,Independent Non-Executive Director
AGT.L,Audit,Member,2021-09-01,213800QUODCLWWRVI968,AVI Global Trust PLC,5,Mr. Neil Galloway,Neil,,Galloway,NaT,2021-09-01 00:00:00,2021-09-01 00:00:00,Non-Executive Independent Director
AGT.L,Audit,Chairman,2017-06-01,213800QUODCLWWRVI968,AVI Global Trust PLC,6,Mr. Calum Thomson,Calum,,Thomson,NaT,2017-04-01 00:00:00,2021-12-16 00:00:00,Senior Non-Executive Independent Director
AV.L,Audit,Member,2022-02-21,YF0Y5B0IB8SM0ZFG9G81,Aviva PLC,6,Ms. Andrea Blance,Andrea,,Blance,NaT,2022-02-21 00:00:00,2022-02-21 00:00:00,Non-Executive Independent Director
AV.L,Audit,Chairman,2019-11-04,YF0Y5B0IB8SM0ZFG9G81,Aviva PLC,7,Mr. Patrick G. Flynn,Patrick,G.,Flynn,NaT,2019-07-16 00:00:00,2020-09-07 00:00:00,Senior Non-Executive Independent Director
AV.L,Audit,Member,2021-12-20,YF0Y5B0IB8SM0ZFG9G81,Aviva PLC,8,Ms. Shonaid Jemmett- Page,Shonaid,,Jemmett- Page,NaT,2021-12-20 00:00:00,2021-12-20 00:00:00,Non-Executive Independent Director
AV.L,Audit,Member,2020-12-01,YF0Y5B0IB8SM0ZFG9G81,Aviva PLC,11,Mr. Jim McConville,Jim,,McConville,NaT,2020-12-01 00:00:00,2020-12-01 00:00:00,Non-Executive Independent Director
AV.L,Audit,Member,2021-10-22,YF0Y5B0IB8SM0ZFG9G81,Aviva PLC,13,"Dr. Martin Strobel, Ph.D.",Martin,,Strobel,NaT,2021-10-22 00:00:00,2021-10-22 00:00:00,Non-Executive Independent Director
BAB.L,Audit,Member,2018-04-01,213800TSKOLX4EU6L377,Babcock International Group PLC,7,Ms. Lucy Rebecca Dimes,Lucy,Rebecca,Dimes,NaT,2018-04-01 00:00:00,2018-04-01 00:00:00,Non-Executive Independent Director
BAB.L,Audit,Member,2022-12-01,213800TSKOLX4EU6L377,Babcock International Group PLC,9,Ms. Jane Moriarty,Jane,,Moriarty,NaT,2022-12-01 00:00:00,2022-12-01 00:00:00,Non-Executive Independent Director
BAB.L,Audit,Chairman,2022-02-04,213800TSKOLX4EU6L377,Babcock International Group PLC,11,Mr. John Ramsay,John,,Ramsay,NaT,2022-01-06 00:00:00,2022-01-06 00:00:00,Non-Executive Independent Director
BAB.L,Audit,Member,2023-06-01,213800TSKOLX4EU6L377,Babcock International Group PLC,12,"Sir Kevin Smith, CBE",Kevin,,Smith,NaT,2023-06-01 00:00:00,2023-06-01 00:00:00,Non-Executive Independent Director
BAES.L,Audit,Member,,8SVCSVKSGDWMW2QHOH83,BAE Systems PLC,10,Dame Elizabeth P.L. Corley,Elizabeth,P.L.,Corley,NaT,2016-02-01 00:00:00,2016-02-01 00:00:00,Non-Executive Independent Director
BAES.L,Audit,Chairman,2020-01-01,8SVCSVKSGDWMW2QHOH83,BAE Systems PLC,13,Mr. Stephen Thomas Pearce,Stephen,Thomas,Pearce,NaT,2019-06-01 00:00:00,2019-06-01 00:00:00,Non-Executive Independent Director
BGFD.L,Audit,Member,2015-11-30,54930037AGTKN765Y741,Baillie Gifford Japan Trust PLC,1,Mr. David Paul Kidd,David,Paul,Kidd,NaT,2015-11-30 00:00:00,2022-06-20 00:00:00,Non-Executive Independent Chairman of the Board
BGFD.L,Audit,Chairman,2019-12-01,54930037AGTKN765Y741,Baillie Gifford Japan Trust PLC,3,Mrs. Sharon Brown,Sharon,,Brown,NaT,2019-10-03 00:00:00,2019-10-03 00:00:00,Non-Executive Independent Director
BGFD.L,Audit,Member,2021-10-01,54930037AGTKN765Y741,Baillie Gifford Japan Trust PLC,4,Mr. Simon L. (Sam) Davis,Simon,L.,Davis,NaT,2021-10-01 00:00:00,2021-10-01 00:00:00,Non-Executive Independent Director
BGFD.L,Audit,Member,2018-06-28,54930037AGTKN765Y741,Baillie Gifford Japan Trust PLC,5,Ms. Joanna Pitman,Joanna,,Pitman,NaT,2018-06-28 00:00:00,2022-06-20 00:00:00,Senior Non-Executive Independent Director
BAKK.L,Audit,Member,2021-08-01,213800COL7AD54YU9949,Bakkavor Group Plc,11,Mr. Sanjeevan Bala,Sanjeevan,,Bala,NaT,2021-08-01 00:00:00,2021-08-01 00:00:00,Non-Executive Independent Director
